stimuli	l	u
:) not sure, maybe	49	100
:) not sure, maybe	47	100
:) not sure, maybe	47	100
:) not sure, maybe	7	75
:) not sure, maybe	38	100
:) not sure, maybe	25	72
:) not sure, maybe	37	89
:) not sure, maybe	45	100
:) not sure, maybe	50	100
:) not sure, maybe	47	100
:) not sure, maybe	57	100
:) not sure, maybe	22	22
:) not sure, maybe	28	65
:) not sure, maybe	0	52
:) not sure, maybe	45	61
:) not sure, maybe	0	29
:) not sure, maybe	0	53
:) not sure, maybe	35	100
:) not sure, maybe	26	77
:) not sure, maybe	0	56
:) not sure, maybe	48	100
:) not sure, maybe	49	100
:) not sure, maybe	0	55
:) not sure, maybe	48	68
:) not sure, maybe	47	67
:) not sure, maybe	23	74
:) not sure, maybe	11	77
:) not sure, maybe	44	49
:) not sure, maybe	0	46
:) not sure, maybe	49	100
:) not sure, maybe	61	78
:) not sure, maybe	28	70
:) not sure, maybe	18	76
:) not sure, maybe	58	58
:) not sure, maybe	63	68
:) not sure, maybe	24	74
ah...hmmmm.... i guess i have to say no... 	0	24
ah...hmmmm.... i guess i have to say no... 	0	16
ah...hmmmm.... i guess i have to say no... 	32	66
ah...hmmmm.... i guess i have to say no... 	2	100
ah...hmmmm.... i guess i have to say no... 	0	40
ah...hmmmm.... i guess i have to say no... 	4	100
ah...hmmmm.... i guess i have to say no... 	0	27
ah...hmmmm.... i guess i have to say no... 	0	46
ah...hmmmm.... i guess i have to say no... 	13	100
ah...hmmmm.... i guess i have to say no... 	10	54
ah...hmmmm.... i guess i have to say no... 	16	100
ah...hmmmm.... i guess i have to say no... 	0	13
ah...hmmmm.... i guess i have to say no... 	3	26
ah...hmmmm.... i guess i have to say no... 	18	41
ah...hmmmm.... i guess i have to say no... 	20	100
ah...hmmmm.... i guess i have to say no... 	48	100
ah...hmmmm.... i guess i have to say no... 	0	11
ah...hmmmm.... i guess i have to say no... 	0	29
ah...hmmmm.... i guess i have to say no... 	0	16
ah...hmmmm.... i guess i have to say no... 	7	16
ah...hmmmm.... i guess i have to say no... 	9	100
ah...hmmmm.... i guess i have to say no... 	34	53
ah...hmmmm.... i guess i have to say no... 	6	7
ah...hmmmm.... i guess i have to say no... 	16	16
ah...hmmmm.... i guess i have to say no... 	5	5
ah...hmmmm.... i guess i have to say no... 	34	100
ah...hmmmm.... i guess i have to say no... 	0	57
ah...hmmmm.... i guess i have to say no... 	0	58
ah...hmmmm.... i guess i have to say no... 	10	55
ah...hmmmm.... i guess i have to say no... 	0	32
ah...hmmmm.... i guess i have to say no... 	10	51
ah...hmmmm.... i guess i have to say no... 	15	52
ah...hmmmm.... i guess i have to say no... 	24	100
ah...hmmmm.... i guess i have to say no... 	20	27
ah...hmmmm.... i guess i have to say no... 	89	100
ah...hmmmm.... i guess i have to say no... 	18	75
ah...hmmmm.... i guess i have to say no... 	24	34
ah...hmmmm.... i guess i have to say no... 	17	45
almost	51	78
almost	33	65
almost	31	77
almost	0	71
almost	62	83
almost	84	100
almost	23	100
almost	77	100
almost	45	53
almost	31	55
almost	71	100
almost	18	83
almost	50	100
almost	0	67
almost	100	100
almost	0	46
almost	52	76
almost	66	89
almost	67	89
almost	55	100
almost	71	85
almost	50	93
almost	29	71
almost	68	95
almost	72	100
almost	70	100
almost	0	100
almost	31	64
certainly	100	100
certainly	100	100
certainly	100	100
certainly	96	100
certainly	73	100
certainly	82	100
certainly	100	100
certainly	90	100
certainly	100	100
certainly	57	100
certainly	100	100
certainly	82	100
certainly	100	100
certainly	91	100
certainly	80	100
certainly	90	100
certainly	100	100
certainly	100	100
certainly	80	100
certainly	92	99
certainly	100	100
certainly	81	100
certainly	84	95
certainly	100	100
certainly	18	67
certainly not	0	0
certainly not	0	13
certainly not	0	30
certainly not	0	0
certainly not	0	31
certainly not	0	27
certainly not	18	18
certainly not	0	0
certainly not	1	5
certainly not	0	0
certainly not	0	97
certainly not	0	8
certainly not	4	17
certainly not	0	1
certainly not	3	10
certainly not	0	22
could be both yes and no	50	100
could be both yes and no	47	100
could be both yes and no	51	100
could be both yes and no	47	100
could be both yes and no	46	51
could be both yes and no	0	100
could be both yes and no	0	100
could be both yes and no	0	48
could be both yes and no	0	52
could be both yes and no	0	100
could be both yes and no	12	87
could be both yes and no	0	52
could be both yes and no	0	48
could be both yes and no	34	100
could be both yes and no	0	46
could be both yes and no	0	53
could be both yes and no	29	68
could be both yes and no	0	100
could be both yes and no	49	100
could be both yes and no	50	50
could be both yes and no	50	55
could be both yes and no	0	100
could be both yes and no	8	88
could be both yes and no	0	95
could be both yes and no	52	54
could be both yes and no	55	100
could be both yes and no	0	59
could be both yes and no	0	51
could be both yes and no	46	50
could be both yes and no	1	100
could be both yes and no	26	83
could be both yes and no	46	46
could be both yes and no	0	100
could be but not necessarily	51	100
could be but not necessarily	29	100
could be but not necessarily	51	100
could be but not necessarily	26	26
could be but not necessarily	48	100
could be but not necessarily	47	100
could be but not necessarily	0	55
could be but not necessarily	53	100
could be but not necessarily	39	83
could be but not necessarily	35	65
could be but not necessarily	38	100
could be but not necessarily	77	100
could be but not necessarily	0	30
could be but not necessarily	0	47
could be but not necessarily	69	85
could be but not necessarily	0	51
could be but not necessarily	12	56
could be but not necessarily	19	56
could be but not necessarily	0	71
could be but not necessarily	0	56
could be but not necessarily	53	100
could be but not necessarily	30	75
could be but not necessarily	9	19
could be but not necessarily	0	29
could be but not necessarily	0	29
could be but not necessarily	39	61
could be but not necessarily	26	87
could be but not necessarily	46	54
could be but not necessarily	15	84
could be but not necessarily	34	77
could be but not necessarily	24	71
definitely	100	100
definitely	100	100
definitely	100	100
definitely	100	100
definitely	100	100
definitely	88	100
definitely	100	100
definitely	83	100
definitely	100	100
definitely	99	100
definitely	89	100
definitely	81	100
definitely	55	77
definitely	100	100
definitely	83	99
definitely	100	100
definitely	74	100
definitely	100	100
definitely	100	100
definitely	93	100
definitely	100	100
definitely	100	100
definitely	100	100
definitely	100	100
definitely	100	100
definitely	94	100
definitely	100	100
definitely	50	55
definitely	93	95
definitely	92	100
definitely	83	100
definitely	61	100
definitely	90	100
definitely	85	95
definitely	100	100
definitely	94	100
definitely	100	100
definitely	100	100
definitely	100	100
definitely	80	100
definitely	19	94
definitely	100	100
definitely	35	100
definitely not	0	0
definitely not	2	12
definitely not	0	19
definitely not	0	0
definitely not	0	0
definitely not	0	14
definitely not	0	0
definitely not	0	0
definitely not	0	13
definitely not	0	6
definitely not	0	3
definitely not	0	0
definitely not	0	0
definitely not	0	5
definitely not	7	8
definitely not	0	19
definitely not	0	12
definitely not	0	0
definitely not	3	5
definitely not	0	3
depends	0	100
depends	46	100
depends	45	100
depends	19	77
depends	48	100
depends	48	100
depends	49	100
depends	48	100
depends	53	100
depends	49	100
depends	53	100
depends	8	91
depends	47	100
depends	61	83
depends	42	62
depends	36	71
depends	0	60
depends	0	57
depends	0	52
depends	0	100
depends	37	53
depends	77	100
depends	0	51
depends	21	78
depends	49	49
depends	44	100
depends	45	48
depends	49	100
depends	0	52
depends	48	49
depends	25	75
depends	30	100
depends	54	55
depends	0	100
depends	0	78
depends	0	100
depends	28	77
eh... yes, you could say so. 	59	96
eh... yes, you could say so. 	65	100
eh... yes, you could say so. 	80	100
eh... yes, you could say so. 	74	100
eh... yes, you could say so. 	55	94
eh... yes, you could say so. 	21	100
eh... yes, you could say so. 	91	100
eh... yes, you could say so. 	59	89
eh... yes, you could say so. 	43	92
eh... yes, you could say so. 	62	100
eh... yes, you could say so. 	35	100
eh... yes, you could say so. 	73	100
eh... yes, you could say so. 	60	100
eh... yes, you could say so. 	64	84
eh... yes, you could say so. 	100	100
eh... yes, you could say so. 	93	100
eh... yes, you could say so. 	72	100
eh... yes, you could say so. 	38	100
eh... yes, you could say so. 	74	92
eh... yes, you could say so. 	34	92
eh... yes, you could say so. 	48	100
eh... yes, you could say so. 	7	72
eh... yes, you could say so. 	83	83
eh... yes, you could say so. 	34	100
generally	50	95
generally	64	100
generally	60	100
generally	91	91
generally	50	100
generally	88	100
generally	33	95
generally	60	100
generally	60	100
generally	66	92
generally	58	100
generally	40	88
generally	47	72
generally	14	86
generally	53	86
generally	67	100
generally	65	100
generally	58	97
generally	54	59
generally	52	57
generally	45	56
generally	38	64
generally	37	100
generally	24	91
generally	93	100
generally	69	100
generally	48	100
generally	100	100
generally	34	74
generally	87	87
generally	44	46
generally	44	46
generally	0	71
generally	61	81
generally	43	53
generally	64	100
generally	49	100
generally	69	86
generally	63	94
generally	49	76
generally	38	90
generally	24	74
generally	36	77
generally	55	100
generally	83	83
generally	64	100
generally	50	96
generally	46	96
generally	68	80
generally	23	70
generally	24	73
generally	62	77
generally yes, but not necessarily	75	100
generally yes, but not necessarily	82	100
generally yes, but not necessarily	63	100
generally yes, but not necessarily	64	100
generally yes, but not necessarily	40	85
generally yes, but not necessarily	59	100
generally yes, but not necessarily	33	100
generally yes, but not necessarily	77	93
generally yes, but not necessarily	85	85
generally yes, but not necessarily	74	100
generally yes, but not necessarily	70	100
generally yes, but not necessarily	7	64
generally yes, but not necessarily	51	98
generally yes, but not necessarily	31	59
generally yes, but not necessarily	66	85
generally yes, but not necessarily	7	89
generally yes, but not necessarily	15	100
generally yes, but not necessarily	35	92
generally yes, but not necessarily	58	63
generally yes, but not necessarily	57	92
generally yes, but not necessarily	35	87
generally yes, but not necessarily	37	94
generally yes, but not necessarily	48	92
generally yes, but not necessarily	64	65
generally yes, but not necessarily	48	95
generally yes, but not necessarily	13	18
generally yes, but not necessarily	17	89
hmm not exactly... (but again one could) 	30	100
hmm not exactly... (but again one could) 	0	41
hmm not exactly... (but again one could) 	35	100
hmm not exactly... (but again one could) 	47	100
hmm not exactly... (but again one could) 	9	100
hmm not exactly... (but again one could) 	0	24
hmm not exactly... (but again one could) 	14	66
hmm not exactly... (but again one could) 	17	100
hmm not exactly... (but again one could) 	46	100
hmm not exactly... (but again one could) 	30	72
hmm not exactly... (but again one could) 	0	100
hmm not exactly... (but again one could) 	64	100
hmm not exactly... (but again one could) 	42	47
hmm not exactly... (but again one could) 	10	66
hmm not exactly... (but again one could) 	18	57
hmm not exactly... (but again one could) 	23	100
hmm not exactly... (but again one could) 	21	66
hmm not exactly... (but again one could) 	37	37
hmm not exactly... (but again one could) 	0	75
hmm not exactly... (but again one could) 	0	37
hmm not exactly... (but again one could) 	0	59
hmm not exactly... (but again one could) 	28	67
hmm not exactly... (but again one could) 	0	87
