stimuli	l	u
:) not sure, maybe	47	100
:) not sure, maybe	7	75
:) not sure, maybe	25	72
:) not sure, maybe	37	89
:) not sure, maybe	50	100
ah...hmmmm.... i guess i have to say no... 	0	16
ah...hmmmm.... i guess i have to say no... 	32	66
ah...hmmmm.... i guess i have to say no... 	0	40
ah...hmmmm.... i guess i have to say no... 	0	27
ah...hmmmm.... i guess i have to say no... 	0	46
ah...hmmmm.... i guess i have to say no... 	10	54
ah...hmmmm.... i guess i have to say no... 	16	100
ah...hmmmm.... i guess i have to say no... 	0	13
ah...hmmmm.... i guess i have to say no... 	3	26
almost	33	65
almost	31	77
almost	62	83
almost	45	53
certainly	73	100
certainly	82	100
certainly	100	100
certainly	90	100
certainly	100	100
certainly	57	100
certainly	100	100
certainly	82	100
certainly not	0	0
certainly not	0	13
certainly not	9	93
certainly not	0	30
certainly not	0	31
certainly not	0	27
could be both yes and no	0	100
could be both yes and no	0	100
could be both yes and no	0	52
could be but not necessarily	29	100
could be but not necessarily	26	26
could be but not necessarily	47	100
could be but not necessarily	0	55
could be but not necessarily	39	83
definitely	100	100
definitely	100	100
definitely	88	100
definitely	100	100
definitely	83	100
definitely	89	100
definitely	81	100
definitely	55	77
definitely	100	100
definitely	83	99
definitely not	2	12
definitely not	0	19
definitely not	0	0
definitely not	0	14
definitely not	0	0
definitely not	0	0
definitely not	0	13
definitely not	4	100
definitely not	0	3
depends	19	77
depends	8	91
eh... yes, you could say so. 	74	100
eh... yes, you could say so. 	55	94
eh... yes, you could say so. 	21	100
eh... yes, you could say so. 	91	100
eh... yes, you could say so. 	59	89
eh... yes, you could say so. 	43	92
generally	64	100
generally	91	91
generally	50	100
generally	0	100
generally	33	95
generally	60	100
generally	60	100
generally	66	92
generally	58	100
generally	40	88
generally	47	72
generally	14	86
generally	53	86
generally	67	100
generally	58	97
generally	45	56
generally yes, but not necessarily	75	100
generally yes, but not necessarily	0	71
generally yes, but not necessarily	40	85
hmm not exactly... (but again one could) 	35	100
hmm not exactly... (but again one could) 	0	24
hmm not exactly... (but again one could) 	14	66
hmm not exactly... (but again one could) 	46	100
hmm not exactly... (but again one could) 	30	72
hmm not exactly... (but again one could) 	10	66
hmm, I'd say yes in general 	85	85
hmm, I'd say yes in general 	54	100
I don't think so	0	18
I don't think so	32	68
I don't think so	0	18
I don't think so	0	28
I don't think so	4	34
I don't think so	0	0
I don't think so	29	90
I don't think so	0	29
I don't think so	0	31
I don't think so	2	76
I don't think so	17	100
I don't think so	11	61
I don't think so	12	100
I don't think so	4	79
I think so	44	85
I think so	50	92
I think so	47	100
I think so	21	68
I think so	21	62
I think so	0	94
I think so	46	97
I think so	53	100
I think so	0	63
I think so	39	100
I think so	9	100
I think so kind of	54	80
I think so kind of	48	83
I think so kind of	41	78
I think so kind of	13	72
I think so...	25	71
I think so...	24	78
I think so...	40	79
I think so...	80	100
I think so...	60	100
I think so...	49	92
i would say yes	25	95
i would say yes	22	96
i would say yes	0	100
i would say yes	94	94
i would say yes	58	100
i would say yes	27	100
i would say yes	0	74
I'm going to say yes	90	100
I'm going to say yes	87	100
I'm going to say yes	0	95
I'm going to say yes	81	100
I'm going to say yes	60	100
I'm going to say yes	0	100
I'm going to say yes	84	100
in general no	0	14
in general no	0	22
in general no	6	100
in general no	11	86
in general no	0	50
in general no	13	13
in general no	0	7
in general no	0	21
in general no	0	17
in general no	0	25
in general no	0	24
in general no	0	14
in general no	0	62
in general no	0	15
in general no	6	25
in general no	0	35
in general no	11	56
in general no	9	66
in general no	1	79
in general yes	91	100
in general yes	60	83
in general yes	78	100
in general yes	71	97
in general yes	63	100
in general yes	55	94
in general yes	33	100
in general yes	29	100
in general yes	0	76
in general, no	6	43
in general, no	0	14
in general, no	6	6
in general, no	1	15
in general, no	0	19
in general, no	10	58
in general, no	15	100
it can be but not necessarily	48	64
it can be but not necessarily	28	73
it can be but not necessarily	43	100
it can be but not necessarily	13	91
it can be but not necessarily	17	93
it can be but not necessarily	0	21
it depends	26	77
it depends	11	83
it depends	33	56
it depends	10	89
it depends	47	100
it depends	48	53
it depends	16	84
it depends	13	84
it depends	9	82
it's possible, but generally i guess i'd say no 	15	77
it's possible, but generally i guess i'd say no 	0	61
it's possible, but generally i guess i'd say no 	21	100
it's possible, but generally i guess i'd say no 	6	100
it's possible, but generally i guess i'd say no 	0	22
it's possible, but generally i guess i'd say no 	8	57
it's possible, but generally i guess i'd say no 	31	100
kind of	39	79
kind of	54	100
kind of	57	100
kind of	65	100
kind of	24	73
kind of	20	80
kind of	0	58
kind of	0	55
kind of	39	85
maybe	20	78
maybe	52	52
maybe	28	61
maybe	0	52
maybe	25	78
maybe	49	100
maybe	48	53
maybe	6	93
mostly	67	100
mostly	49	100
