stimuli	p
yes	100
sometimes	50
usually not	11
it depends	50
sort of	50
mostly	85
probably	85
possibly not	38
generally	87
in general yes	82
not probably	30
no	0
nope	0
yep	100
certainly	100
perhaps	37
definitely	100
I think so	89
usually	87
not certainly	76
not possibly	0
definitely not	0
usually	82
no	0
generally	90
perhaps	36
rarely	7
yep	100
definitely not	0
possibly not	9
not usually	6
it depends	47
generally	82
perhaps	50
possibly	60
sometimes	45
not definitely	54
no	0
not probably	34
certainly	100
probably not	16
sort of	49
rarely	10
not possibly	0
yep	100
not certainly	66
probably	75
nope	0
in general yes	92
not definitely	37
possibly not	24
definitely not	0
not certainly	71
I don't think so	10
definitely	99
definitely not	0
I think so	83
usually not	11
not possibly	0
in general yes	84
certainly	100
not definitely	79
perhaps	55
no	0
possibly	28
possibly not	19
probably	91
probably not	7
usually	90
not probably	16
in general no	11
yep	100
it depends	46
certainly not	0
sometimes	59
certainly	100
mostly	74
in general yes	85
generally	72
sort of	50
rarely	8
probably not	11
usually not	19
not possibly	0
not usually	10
usually	87
perhaps	35
probably	89
definitely not	0
it depends	50
possibly	50
possibly not	50
not probably	21
not certainly	63
no	0
in general no	11
definitely	100
I don't think so	50
I think so	50
yes	92
usually not	21
yes	100
certainly	100
sort of	43
not probably	30
certainly not	56
probably	63
usually not	55
not certainly	21
I don't think so	24
possibly not	38
nope	32
not definitely	33
not definitely	43
in general no	14
not definitely	58
not certainly	55
no	0
I think so	43
not certainly	57
perhaps	62
no	0
usually	43
generally	83
yep	55
probably not	14
perhaps	52
in general yes	55
sometimes	51
not possibly	26
mostly	81
usually	83
I don't think so	20
it depends	50
certainly not	4
I don't think so	24
yep	89
not usually	13
nope	9
in general no	12
not possibly	5
possibly	43
rarely	28
mostly	81
probably not	7
in general no	32
in general no	19
yes	98
nope	0
certainly not	0
possibly not	43
probably	83
generally	72
yep	95
possibly not	6
definitely	100
I think so	80
it depends	56
in general yes	82
definitely not	0
yes	100
certainly	99
probably not	19
not probably	100
definitely not	4
not probably	52
not possibly	31
in general yes	79
yep	100
possibly not	47
perhaps	43
not usually	86
possibly	66
certainly	57
it depends	51
rarely	6
no	32
not usually	36
in general yes	87
not probably	31
mostly	78
probably	100
definitely not	0
mostly	43
not definitely	38
sort of	59
probably not	98
it depends	43
possibly	54
I don't think so	0
generally	84
yes	55
sometimes	55
perhaps	100
generally	100
not usually	33
in general no	100
sometimes	43
definitely	100
rarely	44
possibly not	12
in general no	0
not probably	34
not probably	19
not usually	0
yes	100
probably	43
definitely not	100
usually not	6
no	0
possibly not	35
certainly	100
sort of	63
yep	2
sort of	82
sometimes	60
sometimes	64
nope	31
certainly	99
probably not	12
no	100
not certainly	12
in general no	7
nope	3
nope	2
mostly	87
usually	76
not definitely	87
definitely	98
rarely	11
not possibly	6
rarely	98
not possibly	8
possibly	100
no	0
certainly	99
sort of	100
probably	82
usually	99
in general yes	91
usually not	29
not possibly	1
I don't think so	99
not possibly	0
not certainly	42
not certainly	4
perhaps	50
I think so	100
not usually	14
yep	100
not probably	0
certainly not	2
not certainly	0
mostly	98
sometimes	99
sort of	59
usually not	0
in general yes	100
yep	99
usually	84
yes	100
mostly	89
I think so	100
it depends	100
it depends	50
yes	100
I don't think so	2
nope	0
no	0
usually not	10
rarely	3
usually	94
definitely	98
it depends	51
I think so	87
certainly	25
sort of	88
generally	24
rarely	12
perhaps	0
it depends	89
definitely not	78
definitely	16
sometimes	20
no	24
I think so	71
possibly	61
yes	94
usually	14
certainly not	96
probably not	90
not probably	94
it depends	42
I don't think so	97
probably	86
not certainly	9
possibly	55
nope	0
mostly	81
in general no	13
no	1
not definitely	13
sort of	60
usually not	13
possibly not	32
generally	80
certainly	100
rarely	2
usually not	6
probably	65
not possibly	20
not definitely	18
not usually	21
yes	100
mostly	87
not probably	22
it depends	59
not probably	9
usually not	4
sometimes	44
it depends	51
I think so	89
rarely	5
definitely not	0
possibly not	28
in general no	8
probably not	10
not certainly	34
not possibly	27
generally	83
in general yes	100
probably	40
possibly not	39
possibly	50
no	0
probably not	30
I don't think so	23
not usually	18
yep	100
definitely	95
probably	88
yes	98
definitely not	0
in general no	0
I don't think so	6
sort of	75
possibly	41
definitely	100
definitely	100
certainly	98
nope	0
usually not	25
probably not	16
not definitely	7
I think so	82
sort of	65
perhaps	95
yep	94
in general no	6
usually	87
certainly not	3
definitely not	0
I don't think so	0
yep	100
sometimes	42
not certainly	33
mostly	72
possibly not	20
not definitely	19
not probably	23
nope	0
generally	59
I think so	64
in general yes	100
rarely	44
usually not	23
I don't think so	36
mostly	74
definitely not	0
in general yes	86
sort of	57
not definitely	28
nope	2
not usually	8
no	0
in general no	9
certainly not	0
probably not	14
rarely	8
possibly	59
definitely	99
sometimes	74
possibly not	37
generally	62
probably	80
not possibly	39
I think so	84
usually	90
not certainly	72
yep	100
rarely	10
in general no	6
it depends	53
yes	100
no	2
not definitely	8
not usually	19
nope	14
possibly	73
usually	88
yep	89
probably not	11
mostly	68
I don't think so	15
definitely not	0
perhaps	56
mostly	82
probably	83
probably	50
nope	1
definitely not	3
generally	93
perhaps	72
probably not	23
not probably	11
certainly not	0
definitely	99
not usually	18
possibly not	10
rarely	24
I think so	83
it depends	65
in general no	15
sort of	66
not possibly	2
yep	100
yes	100
not certainly	6
not possibly	12
not certainly	12
generally	81
I don't think so	12
not probably	30
usually	71
I think so	67
not definitely	8
certainly	80
possibly	66
not certainly	28
in general yes	74
I don't think so	29
perhaps	55
sometimes	50
usually not	28
no	29
yep	55
I think so	53
in general yes	54
in general no	27
possibly not	29
not possibly	28
probably not	30
probably	46
usually	55
not probably	21
certainly not	30
certainly	97
possibly	46
nope	29
rarely	16
not usually	27
generally	44
yes	99
sometimes	46
definitely	71
possibly	48
I don't think so	0
yep	97
nope	0
usually not	12
sometimes	44
yes	99
not possibly	4
not certainly	18
not definitely	14
generally	85
it depends	47
no	0
certainly not	0
certainly	100
yes	63
perhaps	48
usually	63
probably	93
certainly	99
I think so	36
in general yes	89
probably not	0
probably not	7
not certainly	17
definitely not	0
sort of	34
in general no	0
usually not	0
possibly not	24
in general yes	100
I think so	87
not probably	3
definitely	100
nope	0
mostly	87
usually	91
not possibly	7
rarely	7
generally	91
it depends	47
not definitely	5
rarely	5
possibly	62
perhaps	68
I don't think so	0
no	2
sort of	50
not usually	5
possibly not	8
definitely not	0
sometimes	49
possibly not	17
not possibly	13
usually not	26
definitely	100
I don't think so	41
definitely	99
not probably	9
not possibly	3
no	0
yep	65
probably	57
not probably	37
certainly	100
it depends	48
perhaps	63
in general yes	69
certainly not	0
not definitely	20
not certainly	29
probably not	40
rarely	35
usually	56
certainly	75
possibly	60
probably	55
mostly	81
in general no	8
yes	89
not certainly	8
in general no	29
mostly	89
yes	92
yep	76
not probably	8
in general no	39
it depends	50
usually	92
certainly not	2
nope	9
yep	93
not certainly	23
possibly not	11
rarely	15
certainly not	7
perhaps	55
I think so	93
it depends	46
not definitely	12
probably	63
not usually	9
possibly	62
not possibly	7
no	0
probably not	10
in general yes	90
usually not	13
sort of	82
possibly not	30
perhaps	83
mostly	66
no	7
usually	68
I don't think so	11
usually not	36
definitely not	9
sometimes	60
nope	9
probably not	14
generally	71
yes	100
not definitely	10
nope	3
definitely not	1
nope	1
not possibly	35
mostly	77
perhaps	50
in general yes	87
not certainly	27
it depends	50
definitely	99
yes	100
definitely not	0
not probably	25
I don't think so	0
possibly not	38
no	0
not definitely	40
generally	70
probably	65
usually not	8
yep	100
rarely	32
certainly	99
not usually	11
sometimes	60
in general no	10
certainly not	0
definitely	100
probably	74
nope	7
in general yes	93
usually not	15
not definitely	35
I don't think so	34
not probably	44
generally	67
possibly	70
certainly	94
sort of	58
perhaps	54
probably not	21
not possibly	14
usually	83
certainly not	5
not certainly	39
it depends	60
mostly	61
in general no	23
definitely not	3
yep	87
not usually	10
sometimes	73
in general yes	76
no	0
perhaps	54
probably not	15
not definitely	0
possibly not	35
sometimes	65
not probably	20
usually	81
definitely	100
yes	100
not possibly	0
not usually	16
certainly not	0
certainly	100
not certainly	15
I don't think so	12
generally	66
in general no	28
nope	0
mostly	88
definitely not	0
yep	100
I think so	82
probably	85
mostly	91
I think so	70
not certainly	18
probably	91
definitely	100
usually not	4
definitely not	0
possibly not	20
probably not	6
usually	79
yes	100
in general no	8
certainly not	0
it depends	49
not definitely	12
certainly	100
not probably	5
generally	72
no	0
not possibly	12
sort of	54
perhaps	60
yep	95
nope	6
possibly	57
not certainly	34
perhaps	45
yep	74
usually	64
definitely	100
certainly	92
definitely not	0
nope	24
sort of	56
rarely	9
probably	57
not probably	36
certainly not	4
in general yes	61
possibly	53
yes	78
in general no	38
possibly not	37
mostly	68
it depends	53
sometimes	61
I think so	69
probably not	30
not definitely	28
I don't think so	17
not possibly	16
not probably	15
nope	2
definitely not	0
in general no	18
I think so	75
not definitely	0
not certainly	65
usually not	18
possibly not	35
generally	65
definitely	100
it depends	48
sometimes	56
in general yes	79
yep	100
rarely	23
certainly not	1
no	0
mostly	85
sort of	57
usually	83
perhaps	62
probably	85
I don't think so	21
rarely	63
not usually	34
certainly	100
certainly not	0
I think so	64
definitely not	6
perhaps	58
yep	76
no	20
I don't think so	36
nope	24
possibly not	32
usually	59
sort of	45
in general no	23
not possibly	43
